Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
12,2.25,75,1.54,6000.0,-1.52,0.0,0.0,3,1,54060.0,1,3766
17,-2.01,69,2.06,10000.0,-6.38,0.0,0.0,3,1,53513.0,1,5152
1,-6.64,42,5.14,10000.0,-16.3,0.0,0.0,3,1,53905.0,1,768
4,8.36,61,3.6,5000.0,1.29,0.0,0.0,3,1,53428.0,1,579
11,-1.78,86,1.03,10000.0,-3.58,0.0,0.0,3,1,53939.0,1,2916
11,3.09,75,2.57,6000.0,-0.8,0.0,0.0,3,1,54059.0,1,3413
22,0.2,80,0.51,7000.0,-2.51,0.0,0.0,3,1,54046.0,1,3134
13,-1.49,74,0.51,10000.0,-5.06,0.0,0.0,3,1,53605.0,1,3521
12,-10.61,55,4.63,10000.0,-17.14,0.0,0.0,3,1,53868.0,1,1734
17,-2.44,79,2.32,9150.339366515836,-5.22,0.0,0.0,3,1,53465.0,1,4542
13,4.07,87,4.12,10000.0,2.1,0.0,0.0,3,1,54517.0,1,1117
8,8.98,40,1.03,10000.0,-3.44,0.0,0.0,3,1,54704.0,1,8429
4,3.69,87,4.12,10000.0,1.73,0.36,0.0,3,1,54172.0,1,350
19,-0.06,97,2.57,600.0,-0.43,0.0,0.58,3,1,54571.0,1,418
21,-0.57,93,3.09,10000.0,-1.44,0.0,0.0,3,1,54189.0,1,594
4,6.84,82,3.4,9150.339366515836,3.99,0.0,0.0,3,1,54532.0,1,423
4,5.35,45,3.09,10000.0,-4.98,0.0,0.0,3,1,54436.0,1,508
9,4.76,60,3.09,10000.0,-2.07,0.15,0.0,3,1,54633.0,1,3063
3,2.89,90,6.17,7000.0,1.41,1.03,0.0,3,1,54411.0,1,605
4,6.56,39,2.57,10000.0,-5.67,0.0,0.0,3,0,54340.0,1,363
12,1.39,75,1.54,10000.0,-2.25,0.0,0.0,3,1,54444.0,1,4310
4,6.9,62,1.6,9150.339366515836,0.13,0.0,0.0,3,1,54724.0,1,561
22,-0.02,80,1.54,10000.0,-2.7,0.0,0.0,3,1,54094.0,1,3216
10,9.66,76,3.09,10000.0,5.64,0.0,0.0,3,1,54370.0,1,3215
23,1.48,56,5.14,10000.0,-5.62,0.0,0.0,3,1,54695.0,1,2114
20,-4.93,86,2.06,8000.0,-6.68,0.0,0.0,3,1,54308.0,1,1766
21,-4.09,86,1.54,8000.0,-5.85,0.0,0.0,3,1,54309.0,1,1632
15,-1.78,93,2.06,3500.0,-2.65,0.0,0.0,3,1,54327.0,1,2849
8,6.2,61,2.57,10000.0,-0.67,0.0,0.0,3,1,54656.0,1,614
8,8.62,53,3.09,10000.0,-0.36,0.0,0.0,3,1,54152.0,1,1769
23,-2.21,93,1.54,8000.0,-3.07,0.0,0.0,3,1,54215.0,1,2125
6,9.81,46,1.54,10000.0,-1.1,0.0,0.0,3,1,54150.0,1,697
5,8.32,34,2.57,10000.0,-5.87,0.0,0.0,3,0,54341.0,1,380
15,9.0,100,4.63,3000.0,9.0,0.68,0.0,3,1,54495.0,1,1882
8,7.77,53,4.12,9000.0,-1.06,0.0,0.0,3,1,54752.0,1,8434
23,-2.23,93,2.06,5000.0,-3.09,0.0,0.0,3,0,54287.0,1,1237
12,1.29,100,2.06,3500.0,1.29,0.0,0.4,3,1,54564.0,1,212
14,1.53,41,4.12,10000.0,-9.16,0.0,0.0,3,1,54758.0,1,4458
18,1.55,93,1.54,5000.0,0.54,0.0,0.0,3,1,54738.0,1,10128
2,1.6,86,1.54,10000.0,-0.43,0.0,0.0,3,1,54194.0,1,398
8,6.2,61,2.57,10000.0,-0.67,0.0,0.0,3,1,54656.0,1,614
17,9.6,100,2.57,2500.0,9.6,0.78,0.0,3,1,54497.0,1,427
18,3.13,70,2.06,10000.0,-1.59,0.0,0.0,3,1,54714.0,1,10026
9,2.52,93,3.6,7000.0,1.5,0.36,0.0,3,1,54561.0,1,400
12,1.76,90,4.12,9000.0,0.3,0.0,0.47,3,1,54636.0,1,4201
1,1.18,80,2.06,7000.0,-1.66,0.0,0.0,3,1,54289.0,1,727
4,2.98,48,4.12,10000.0,-6.17,0.0,0.0,3,1,54604.0,1,362
8,4.07,65,5.14,6000.0,-1.69,0.0,0.0,3,1,54320.0,1,1124
17,-1.38,93,1.54,9000.0,-2.25,0.0,0.0,3,1,54665.0,1,4566
9,7.12,49,4.12,10000.0,-2.53,0.0,0.0,3,1,54753.0,1,4582
13,-1.66,93,1.03,10000.0,-2.53,0.0,0.0,3,1,54229.0,1,1716
17,7.88,93,0.51,6000.0,6.82,0.0,0.0,3,1,54377.0,1,8366
